CustomerID,Age,Annual_Income,Spending_Score,Purchase_Frequency,Average_Order_Value,Recency_Days,Total_Spend
C001,18,24012,27,5,785,124,3925
C002,35,17848,38,8,565,33,4520
C003,24,22623,36,11,554,101,6094
C004,47,70713,58,17,3639,42,61863
C005,60,70851,94,35,7962,6,278670
C006,39,98221,100,46,5337,2,245502
C007,26,67052,32,5,2152,101,10760
C008,54,36361,34,2,1630,165,3260
C009,53,95203,92,29,4875,11,141375
C010,49,53965,47,17,2213,29,37621
C011,49,117819,75,48,7410,4,355680
C012,57,79358,89,35,8875,12,310625
C013,30,65294,57,18,4421,49,79578
C014,46,56252,69,11,2738,57,30118
C015,28,28145,28,3,932,146,2796
C016,41,135435,82,54,5670,5,306180
C017,32,71789,62,18,4194,32,75492
C018,43,48746,18,8,686,102,5488
C019,22,20242,45,12,1364,106,16368
C020,30,27504,39,9,1583,62,14247
C021,21,32595,44,6,1196,44,7176
C022,48,90730,84,25,6657,9,166425
C023,41,41973,65,19,4417,37,83923
C024,29,59504,69,15,4009,54,60135
C025,28,31010,20,3,1243,142,3729
C026,42,77592,77,30,5201,12,156030
C027,24,89822,18,3,1851,211,5553
C028,33,69581,64,23,2667,39,61341
C029,47,55428,57,30,3329,33,99870
C030,27,52493,24,2,1192,95,2384
C031,43,49432,45,12,4384,8,52608
C032,27,37058,55,12,3905,20,46860
C033,56,133624,76,59,5583,12,329397
C034,35,81993,36,4,693,114,2772
C035,42,75519,36,8,2269,103,18152
C036,19,28193,43,7,723,61,5061
C037,31,70146,59,14,3528,16,49392
C038,49,102742,97,29,8130,13,235770
C039,19,32713,20,3,984,51,2952
C040,51,83092,23,7,2348,105,16436
C041,37,35141,57,18,3663,23,65934
C042,55,83788,19,4,1107,145,4428
C043,35,16997,43,7,617,36,4319
C044,52,89615,20,1,2467,220,2467
C045,23,17245,39,3,981,81,2943
C046,25,33970,39,2,1768,40,3536
C047,57,88522,30,5,918,170,4590
C048,33,60938,49,30,3028,34,90840
C049,64,79508,70,54,9588,10,517752
C050,20,32617,26,10,1043,46,10430
C051,63,79016,98,40,7527,5,301080
C052,39,70600,67,19,4305,56,81795
C053,35,24810,41,3,775,63,2325
C054,21,33128,24,6,1077,107,6462
C055,47,57471,51,30,2881,37,86430
C056,36,26658,15,7,2198,160,15386
C057,18,25929,44,4,1036,50,4144
C058,55,76057,45,1,729,109,729
C059,42,37361,56,28,4063,14,113764
C060,28,25482,29,6,2341,100,14046
C061,41,102706,91,31,7397,13,229307
C062,59,40257,25,3,2499,135,7497
C063,21,43509,31,7,2142,153,14994
C064,40,84168,82,27,8355,4,225585
C065,51,65166,56,19,2732,19,51908
C066,24,28056,30,6,642,128,3852
C067,46,136768,82,59,7212,1,425508
C068,26,20851,38,6,578,43,3468
C069,42,61114,37,2,1288,237,2576
C070,33,37908,67,23,1806,38,41538
C071,36,63265,47,20,4352,25,87040
C072,27,31617,29,12,1336,71,16032
C073,38,36683,22,7,1861,187,13027
C074,44,72296,54,22,4044,58,88968
C075,27,24401,26,8,1687,107,13496
C076,49,127905,84,38,8687,8,330106
C077,46,40557,54,26,4392,44,114192
C078,37,100784,91,44,6340,13,278960
C079,29,36600,46,17,3746,44,63682
C080,32,28580,40,11,898,121,9878
C081,51,72383,25,3,1843,91,5529
C082,31,22170,25,10,1451,36,14510
C083,54,42953,59,14,3703,47,51842
C084,65,128008,89,57,7995,14,455715
C085,30,82216,38,5,2039,153,10195
C086,59,138327,85,40,6749,8,269960
C087,27,22683,28,7,1154,144,8078
C088,22,19942,27,8,812,120,6496
C089,27,62188,58,20,4022,34,80440
C090,23,47110,36,7,2353,239,16471
C091,30,30629,20,7,1111,126,7777
C092,46,48906,41,4,1058,201,4232
C093,21,70968,31,7,1983,132,13881
C094,28,23534,35,1,671,199,671
C095,52,65257,50,11,2865,29,31515
C096,41,129598,80,46,7605,5,349830
C097,36,30735,40,1,2034,228,2034
C098,29,22347,40,3,582,126,1746
C099,25,21532,20,11,812,60,8932
C100,40,42496,63,16,3704,49,59264
C101,59,118351,75,32,5841,5,186912
C102,18,25222,38,12,1268,80,15216
C103,27,73803,67,30,2794,11,83820
C104,62,148697,95,32,9136,13,292352
C105,29,32456,33,12,1258,38,15096
C106,35,125057,96,56,5364,7,300384
C107,55,130258,92,34,8067,3,274278
C108,54,140539,94,55,8308,7,456940
C109,45,102177,96,30,6784,15,203520
C110,35,80910,46,7,1188,97,8316
C111,40,43834,41,4,1226,156,4904
C112,43,148139,92,42,9053,1,380226
C113,27,50817,68,23,3801,40,87423
C114,47,66201,65,25,3635,55,90875
C115,20,24641,27,8,998,69,7984
