CustomerID,Age,Annual_Income,Spending_Score,Purchase_Frequency,Average_Order_Value,Recency_Days,Total_Spend,Cluster,Customer_Segment
C001,18,24012,27,5,785,124,3925,2,Regular Customers
C002,35,17848,38,8,565,33,4520,2,Regular Customers
C003,24,22623,36,11,554,101,6094,2,Regular Customers
C004,47,70713,58,17,3639,42,61863,3,Potential Customers
C005,60,70851,94,35,7962,6,278670,1,Premium Customers
C006,39,98221,100,46,5337,2,245502,1,Premium Customers
C007,26,67052,32,5,2152,101,10760,0,Low Value Customers
C008,54,36361,34,2,1630,165,3260,2,Regular Customers
C009,53,95203,92,29,4875,11,141375,1,Premium Customers
C010,49,53965,47,17,2213,29,37621,3,Potential Customers
C011,49,117819,75,48,7410,4,355680,1,Premium Customers
C012,57,79358,89,35,8875,12,310625,1,Premium Customers
C013,30,65294,57,18,4421,49,79578,3,Potential Customers
C014,46,56252,69,11,2738,57,30118,3,Potential Customers
C015,28,28145,28,3,932,146,2796,2,Regular Customers
C016,41,135435,82,54,5670,5,306180,1,Premium Customers
C017,32,71789,62,18,4194,32,75492,3,Potential Customers
C018,43,48746,18,8,686,102,5488,0,Low Value Customers
C019,22,20242,45,12,1364,106,16368,2,Regular Customers
C020,30,27504,39,9,1583,62,14247,2,Regular Customers
C021,21,32595,44,6,1196,44,7176,2,Regular Customers
C022,48,90730,84,25,6657,9,166425,1,Premium Customers
C023,41,41973,65,19,4417,37,83923,3,Potential Customers
C024,29,59504,69,15,4009,54,60135,3,Potential Customers
C025,28,31010,20,3,1243,142,3729,2,Regular Customers
C026,42,77592,77,30,5201,12,156030,3,Potential Customers
C027,24,89822,18,3,1851,211,5553,0,Low Value Customers
C028,33,69581,64,23,2667,39,61341,3,Potential Customers
C029,47,55428,57,30,3329,33,99870,3,Potential Customers
C030,27,52493,24,2,1192,95,2384,0,Low Value Customers
C031,43,49432,45,12,4384,8,52608,3,Potential Customers
C032,27,37058,55,12,3905,20,46860,3,Potential Customers
C033,56,133624,76,59,5583,12,329397,1,Premium Customers
C034,35,81993,36,4,693,114,2772,0,Low Value Customers
C035,42,75519,36,8,2269,103,18152,0,Low Value Customers
C036,19,28193,43,7,723,61,5061,2,Regular Customers
C037,31,70146,59,14,3528,16,49392,3,Potential Customers
C038,49,102742,97,29,8130,13,235770,1,Premium Customers
C039,19,32713,20,3,984,51,2952,2,Regular Customers
C040,51,83092,23,7,2348,105,16436,0,Low Value Customers
C041,37,35141,57,18,3663,23,65934,3,Potential Customers
C042,55,83788,19,4,1107,145,4428,0,Low Value Customers
C043,35,16997,43,7,617,36,4319,2,Regular Customers
C044,52,89615,20,1,2467,220,2467,0,Low Value Customers
C045,23,17245,39,3,981,81,2943,2,Regular Customers
C046,25,33970,39,2,1768,40,3536,2,Regular Customers
C047,57,88522,30,5,918,170,4590,0,Low Value Customers
C048,33,60938,49,30,3028,34,90840,3,Potential Customers
C049,64,79508,70,54,9588,10,517752,3,Potential Customers
C050,20,32617,26,10,1043,46,10430,2,Regular Customers
C051,63,79016,98,40,7527,5,301080,1,Premium Customers
C052,39,70600,67,19,4305,56,81795,3,Potential Customers
C053,35,24810,41,3,775,63,2325,2,Regular Customers
C054,21,33128,24,6,1077,107,6462,2,Regular Customers
C055,47,57471,51,30,2881,37,86430,3,Potential Customers
C056,36,26658,15,7,2198,160,15386,2,Regular Customers
C057,18,25929,44,4,1036,50,4144,2,Regular Customers
C058,55,76057,45,1,729,109,729,0,Low Value Customers
C059,42,37361,56,28,4063,14,113764,3,Potential Customers
C060,28,25482,29,6,2341,100,14046,2,Regular Customers
C061,41,102706,91,31,7397,13,229307,1,Premium Customers
C062,59,40257,25,3,2499,135,7497,2,Regular Customers
C063,21,43509,31,7,2142,153,14994,2,Regular Customers
C064,40,84168,82,27,8355,4,225585,1,Premium Customers
C065,51,65166,56,19,2732,19,51908,3,Potential Customers
C066,24,28056,30,6,642,128,3852,2,Regular Customers
C067,46,136768,82,59,7212,1,425508,1,Premium Customers
C068,26,20851,38,6,578,43,3468,2,Regular Customers
C069,42,61114,37,2,1288,237,2576,0,Low Value Customers
C070,33,37908,67,23,1806,38,41538,3,Potential Customers
C071,36,63265,47,20,4352,25,87040,3,Potential Customers
C072,27,31617,29,12,1336,71,16032,2,Regular Customers
C073,38,36683,22,7,1861,187,13027,2,Regular Customers
C074,44,72296,54,22,4044,58,88968,3,Potential Customers
C075,27,24401,26,8,1687,107,13496,2,Regular Customers
C076,49,127905,84,38,8687,8,330106,1,Premium Customers
C077,46,40557,54,26,4392,44,114192,3,Potential Customers
C078,37,100784,91,44,6340,13,278960,1,Premium Customers
C079,29,36600,46,17,3746,44,63682,2,Regular Customers
C080,32,28580,40,11,898,121,9878,2,Regular Customers
C081,51,72383,25,3,1843,91,5529,0,Low Value Customers
C082,31,22170,25,10,1451,36,14510,2,Regular Customers
C083,54,42953,59,14,3703,47,51842,3,Potential Customers
C084,65,128008,89,57,7995,14,455715,1,Premium Customers
C085,30,82216,38,5,2039,153,10195,0,Low Value Customers
C086,59,138327,85,40,6749,8,269960,1,Premium Customers
C087,27,22683,28,7,1154,144,8078,2,Regular Customers
C088,22,19942,27,8,812,120,6496,2,Regular Customers
C089,27,62188,58,20,4022,34,80440,3,Potential Customers
C090,23,47110,36,7,2353,239,16471,2,Regular Customers
C091,30,30629,20,7,1111,126,7777,2,Regular Customers
C092,46,48906,41,4,1058,201,4232,2,Regular Customers
C093,21,70968,31,7,1983,132,13881,0,Low Value Customers
C094,28,23534,35,1,671,199,671,2,Regular Customers
C095,52,65257,50,11,2865,29,31515,3,Potential Customers
C096,41,129598,80,46,7605,5,349830,1,Premium Customers
C097,36,30735,40,1,2034,228,2034,2,Regular Customers
C098,29,22347,40,3,582,126,1746,2,Regular Customers
C099,25,21532,20,11,812,60,8932,2,Regular Customers
C100,40,42496,63,16,3704,49,59264,3,Potential Customers
C101,59,118351,75,32,5841,5,186912,1,Premium Customers
C102,18,25222,38,12,1268,80,15216,2,Regular Customers
C103,27,73803,67,30,2794,11,83820,3,Potential Customers
C104,62,148697,95,32,9136,13,292352,1,Premium Customers
C105,29,32456,33,12,1258,38,15096,2,Regular Customers
C106,35,125057,96,56,5364,7,300384,1,Premium Customers
C107,55,130258,92,34,8067,3,274278,1,Premium Customers
C108,54,140539,94,55,8308,7,456940,1,Premium Customers
C109,45,102177,96,30,6784,15,203520,1,Premium Customers
C110,35,80910,46,7,1188,97,8316,0,Low Value Customers
C111,40,43834,41,4,1226,156,4904,2,Regular Customers
C112,43,148139,92,42,9053,1,380226,1,Premium Customers
C113,27,50817,68,23,3801,40,87423,3,Potential Customers
C114,47,66201,65,25,3635,55,90875,3,Potential Customers
C115,20,24641,27,8,998,69,7984,2,Regular Customers
C116,50,142544,86,47,7985,12,375295,1,Premium Customers
C117,46,129473,78,44,6559,4,288596,1,Premium Customers
C118,24,25339,23,10,879,54,8790,2,Regular Customers
C119,48,66732,53,28,3948,43,110544,3,Potential Customers
C120,38,95443,79,39,7456,3,290784,1,Premium Customers
C121,35,140010,74,42,4872,1,204624,1,Premium Customers
